iter	Passed	Remaining
0	66	3235
1	81	1949
2	96	1512
3	109	1257
4	125	1127
5	139	1023
6	154	946
7	167	881
8	183	837
9	198	794
10	214	761
11	231	731
12	246	702
13	263	678
14	282	659
15	296	630
16	317	616
17	332	591
18	350	572
19	364	546
20	377	520
21	391	498
22	405	475
23	418	453
24	431	431
25	446	412
26	463	395
27	477	375
28	491	355
29	504	336
30	517	317
31	531	299
32	544	280
33	557	262
34	572	245
35	586	228
36	600	211
37	615	194
38	630	177
39	643	160
40	664	145
41	679	129
